Cluster1	*	*	*	*	*	*	*	*	*	*	*	*
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	221	34.53125	7.56287487409e-05	NM_001258329, NM_006337, NM_004910, NM_001330721, NM_080862, NM_053275, NM_006092, NM_012154, NM_001014443, NM_014550, NM_013301, NM_032444, NM_201274, NM_001163735, NM_016274, NM_199330, NM_001012614, NM_032242, NM_022739, NM_057161, NM_014931, NM_006999, NM_182706, NM_203351, NM_032430, NM_005456, NM_001324321, NM_005781, NM_001322462, NM_030912, NM_018125, NM_001330474, NM_003098, NM_032139, NM_130466, NM_001289864, NM_152594, NM_053025, NM_206866, NM_012406, NM_001270940, NM_018676, NM_001408, NM_020820, NM_001006617, NM_152879, NM_145804, NM_001619, NM_000641, NM_001130969, NM_173546, NM_198236, NM_181832, NM_014517, NM_003078, NM_080391, NM_000332, NM_001127198, NM_013443, NM_014909, NM_018896, NM_012199, NM_007110, NM_001166136, NM_145754, NM_005392, NM_001291986, NM_001105540, NM_006370, NM_007313, NM_003200, NM_003502, NM_173551, NM_015670, NM_002653, NM_005741, NM_021184, NM_001271977, NM_138352, NM_004491, NM_001278299, NM_153717, NM_007039, NM_001286398, NM_001100119, NM_002224, NM_173620, NM_006035, NM_000146, NM_178448, NM_005734, NM_021831, NM_004747, NM_001080414, NM_006946, NM_002741, NM_016151, NM_005886, NM_020680, NM_001323616, NM_001320816, NM_003628, NM_001005271, NM_001323044, NM_012247, NM_005544, NM_020444, NM_032272, NM_001130071, NM_021008, NM_018708, NM_001262, NM_025161, NM_020245, NM_018998, NM_001199873, NM_001130065, NM_015214, NM_001675, NM_001173988, NM_004295, NM_015089, NM_015313, NM_002419, NM_001282777, NM_001365, NM_006688, NM_175736, NM_004140, NM_020461, NM_177995, NM_002926, NM_001243926, NM_020759, NM_015447, NM_004463, NM_001300804, NM_001470, NM_004656, NM_001037131, NM_152727, NM_001284246, NM_003906, NM_001346082, NM_015072, NM_000435, NM_001569, NM_000455, NM_020859, NM_001567, NM_004860, NM_001278529, NM_001252100, NM_014611, NM_005163, NM_015059, NM_152243, NM_152715, NM_001287491, NM_052935, NM_002833, NM_052846, NM_014760, NM_018984, NM_001323916, NM_015049, NM_202002, NM_004259, NM_031434, NM_001317194, NM_001287426, NM_001320613, NM_033549, NM_003581, NM_199054, NM_001330653, NM_139078, NM_014671, NM_001099436, NM_004260, NM_001134224, NM_005632, NM_014587, NM_001166426, NM_033018, NM_003587, NM_031443, NM_198968, NM_032017, NM_001009944, NM_001289936, NM_001319050, NM_004938, NM_015457, NM_033158, NM_003952, NM_001321236, NM_002969, NM_022740, NM_004555, NM_015878, NM_015350, NM_001080495, NM_001100588, NM_003157, NM_003942, NM_015210, NM_001281504, NM_001319, NM_014652, NM_198681, NM_012334, NM_145686, NM_001304288, NM_134323, NM_033517, NM_014853, NM_018012, NM_032552, NM_001303103, NM_014572	607	4942	16912	1.24593622095	0.029579453811	0.00995866370297	0.10532033608899999
GOTERM_CC_DIRECT	GO:0032154~cleavage furrow	8	1.25	0.0007681385196860001	NM_014700, NM_181832, NM_004910, NM_018984, NM_020315, NM_002741, NM_032932, NM_053025	607	43	16912	5.1835561855900005	0.262926877008	0.07343126078630001	1.06493058702
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	125	19.53125	0.0009812891615619999	NM_014956, NM_032272, NM_001007233, NM_006337, NM_001319238, NM_015428, NM_021158, NM_021008, NM_012154, NM_025161, NM_006734, NM_001014443, NM_013301, NM_032444, NM_001675, NM_004973, NM_130436, NM_001145548, NM_001282450, NM_001012614, NM_022739, NM_001304808, NM_001282777, NM_006999, NM_182706, NM_001321459, NM_032430, NM_022455, NM_177995, NM_015187, NM_030912, NM_001243926, NM_020759, NM_004514, NM_004656, NM_000966, NM_001080453, NM_003906, NM_003325, NM_000435, NM_000455, NM_032233, NM_014233, NM_152594, NM_005069, NM_005163, NM_014760, NM_032221, NM_018984, NM_001323916, NM_013286, NM_001006617, NM_202002, NM_005647, NM_004259, NM_145804, NM_031434, NM_001317194, NM_001282690, NM_001130969, NM_001318245, NM_199054, NM_004824, NM_139078, NM_014771, NM_005650, NM_014517, NM_003078, NM_014864, NM_001137675, NM_001256879, NM_000332, NM_053046, NM_007111, NM_001626, NM_012199, NM_001166426, NM_003587, NM_198968, NM_032017, NM_014246, NM_001319050, NM_005392, NM_001105540, NM_001950, NM_007313, NM_001287603, NM_014700, NM_014976, NM_003200, NM_001271023, NM_003952, NM_015670, NM_025230, NM_005741, NM_002969, NM_022740, NM_004187, NM_004555, NM_001278299, NM_005234, NM_003425, NM_003426, NM_001080495, NM_032482, NM_005225, NM_024928, NM_002224, NM_001100119, NM_001100588, NM_001114123, NM_003942, NM_005121, NM_001261826, NM_032364, NM_001079514, NM_001252406, NM_013237, NM_005895, NM_002741, NM_001304288, NM_138499, NM_001005271, NM_006352, NM_001303103	607	2662	16912	1.3083027093100001	0.322782687055	0.07499174086350001	1.3585666369999998
GOTERM_CC_DIRECT	GO:0005634~nucleus	219	34.21875	0.00106011964675	NM_032627, NM_001276252, NM_001007233, NM_006337, NM_001304815, NM_001042539, NM_021158, NM_053275, NM_012154, NM_006734, NM_007345, NM_001282853, NM_018645, NM_013400, NM_016274, NM_153253, NM_199330, NM_001271938, NM_130436, NM_001282450, NM_001301726, NM_001145548, NM_001012614, NM_032242, NM_022739, NM_001304808, NM_006999, NM_001321459, NM_032430, NM_005456, NM_022455, NM_018121, NM_005781, NM_015187, NM_001330474, NM_004514, NM_000966, NM_001322072, NM_003325, NM_130466, NM_001289864, NM_014431, NM_005069, NM_206866, NM_005994, NM_012406, NM_001270940, NM_032221, NM_001289394, NM_001286968, NM_001006617, NM_152879, NM_020825, NM_001105537, NM_145804, NM_001130969, NM_001318245, NM_005197, NM_181832, NM_032862, NM_014517, NM_003078, NM_001137675, NM_080391, NM_000332, NM_053046, NM_015173, NM_001626, NM_007111, NM_012199, NM_007109, NM_001166136, NM_018699, NM_005392, NM_001291986, NM_001105540, NM_007313, NM_003200, NM_003502, NM_015670, NM_002653, NM_005741, NM_004491, NM_021035, NM_005876, NM_032482, NM_203304, NM_006266, NM_024928, NM_001100119, NM_020695, NM_001114123, NM_173620, NM_178448, NM_005734, NM_021831, NM_002741, NM_005895, NM_016151, NM_001100619, NM_005886, NM_001033723, NM_032752, NM_020680, NM_001323616, NM_020718, NM_001308207, NM_001005271, NM_006352, NM_001113525, NM_001323044, NM_152455, NM_005544, NM_032272, NM_001039479, NM_001130071, NM_001322253, NM_021008, NM_001262, NM_018083, NM_144653, NM_015094, NM_198055, NM_207395, NM_173500, NM_001675, NM_004973, NM_001173988, NM_004295, NM_001282777, NM_001323512, NM_177995, NM_002926, NM_001243926, NM_020759, NM_013355, NM_001300804, NM_004656, NM_152727, NM_003906, NM_015072, NM_001569, NM_000455, NM_001093, NM_004860, NM_014233, NM_006293, NM_014611, NM_005163, NM_001005850, NM_000449, NM_017758, NM_030809, NM_001287491, NM_015102, NM_014760, NM_015049, NM_202002, NM_001113324, NM_005647, NM_004259, NM_001317194, NM_001329765, NM_021639, NM_199054, NM_020771, NM_004824, NM_139078, NM_014771, NM_014671, NM_001002836, NM_005650, NM_004260, NM_001256879, NM_025224, NM_015461, NM_002146, NM_014587, NM_003587, NM_198968, NM_001009944, NM_001289936, NM_001319050, NM_001950, NM_014976, NM_005966, NM_014681, NM_020218, NM_001810, NM_003952, NM_022740, NM_004187, NM_004555, NM_005234, NM_015878, NM_002037, NM_017590, NM_001080495, NM_014983, NM_005225, NM_001172668, NM_003942, NM_005937, NM_005121, NM_001319, NM_021216, NM_001317836, NM_001079514, NM_001122772, NM_001252406, NM_002972, NM_001304288, NM_033410, NM_134323, NM_001303103, NM_014572, NM_018013, NM_014856, NM_032807	607	5107	16912	1.19477062365	0.343669458368	0.0677756649494	1.46695834628
GOTERM_CC_DIRECT	GO:0030425~dendrite	24	3.75	0.00132434438227	NM_001199752, NM_001137675, NM_001321236, NM_001323512, NM_001252100, NM_032272, NM_004631, NM_006337, NM_002073, NM_002926, NM_016151, NM_002088, NM_001130969, NM_004976, NM_001470, NM_199330, NM_001116, NM_053275, NM_001114123, NM_001277285, NM_015457, NM_032552, NM_012154, NM_001304808	607	321	16912	2.0831113643	0.409102773435	0.07240403624580001	1.8294608748900003
GOTERM_CC_DIRECT	GO:0030496~midbody	13	2.03125	0.00154694035645	NM_021831, NM_001039707, NM_001105568, NM_004910, NM_002741, NM_005886, NM_015346, NM_014700, NM_003628, NM_015210, NM_018984, NM_020315, NM_032932	607	123	16912	2.94472348348	0.45914866107600005	0.073949354822	2.13388977022
GOTERM_CC_DIRECT	GO:0005622~intracellular	65	10.15625	0.00174430393719	NM_152879, NM_012292, NM_032272, NM_001330311, NM_019096, NM_004910, NM_001330721, NM_001329765, NM_001114, NM_001320613, NM_198868, NM_033549, NM_015428, NM_001330653, NM_001116, NM_053275, NM_198236, NM_014671, NM_015130, NM_012454, NM_020245, NM_015178, NM_015270, NM_001008701, NM_207395, NM_015173, NM_001130065, NM_001330348, NM_001105540, NM_001173988, NM_004295, NM_002419, NM_023083, NM_002969, NM_015378, NM_003425, NM_003426, NM_001322462, NM_030912, NM_001300804, NM_003098, NM_004656, NM_006266, NM_001037131, NM_001174100, NM_006035, NM_003942, NM_004225, NM_145245, NM_004761, NM_001300801, NM_001321042, NM_014652, NM_001122772, NM_001105568, NM_033141, NM_033410, NM_153818, NM_001320816, NM_198679, NM_001270940, NM_001130040, NM_033517, NM_018639, NM_001304331	607	1233	16912	1.4687793530700002	0.499973069823	0.0741197469632	2.4030769380400003
GOTERM_CC_DIRECT	GO:0005871~kinesin complex	8	1.25	0.00215632699978	NM_020759, NM_001318714, NM_145754, NM_015656, NM_001252100, NM_006612, NM_001105568, NM_018012	607	51	16912	4.37044933295	0.57556063518	0.0821291754395	2.9628278330400004
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_MF_DIRECT	GO:0005524~ATP binding	96	15.0	4.91764897521e-09	NM_012247, NM_152879, NM_033450, NM_004259, NM_015656, NM_022766, NM_001330721, NM_001619, NM_001322253, NM_001114, NM_001320613, NM_001318245, NM_199054, NM_021158, NM_001330260, NM_139078, NM_001116, NM_001297760, NM_006092, NM_001099436, NM_014864, NM_004260, NM_001318714, NM_020452, NM_015270, NM_001626, NM_001198994, NM_033018, NM_007110, NM_003587, NM_173500, NM_001130065, NM_032017, NM_001289936, NM_145754, NM_001163735, NM_001105540, NM_007313, NM_004938, NM_015089, NM_130436, NM_024490, NM_014681, NM_002419, NM_000858, NM_003952, NM_001321236, NM_203351, NM_001271977, NM_002969, NM_001163812, NM_001286440, NM_032430, NM_022740, NM_001324321, NM_005781, NM_002037, NM_001243926, NM_007118, NM_020759, NM_005876, NM_013355, NM_020223, NM_020126, NM_006612, NM_001100119, NM_006712, NM_006035, NM_003942, NM_003157, NM_015072, NM_001569, NM_000455, NM_005734, NM_001319, NM_001093, NM_022089, NM_012334, NM_001252100, NM_006293, NM_145686, NM_001105568, NM_014611, NM_033141, NM_005163, NM_004444, NM_016151, NM_002741, NM_053025, NM_020680, NM_001005271, NM_001089, NM_018012, NM_014572, NM_032221, NM_032807	587	1398	15720	1.83898633482	3.2112196193299998e-06	3.2112196193299998e-06	7.34710243755e-06
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	31	4.84375	4.019244242780001e-08	NM_020820, NM_012292, NM_004140, NM_001199417, NM_004491, NM_024605, NM_002926, NM_018125, NM_198868, NM_020773, NM_001037131, NM_198236, NM_001284246, NM_032139, NM_015130, NM_012454, NM_145245, NM_020808, NM_001122772, NM_015173, NM_018287, NM_019020, NM_001130065, NM_152243, NM_001330348, NM_153253, NM_014853, NM_001308207, NM_015313, NM_003502, NM_032552	587	260	15720	3.19302843664	2.62453209834e-05	1.31227465949e-05	6.00485966396e-05
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	36	5.625	4.1525062059199996e-08	NM_001321236, NM_203351, NM_001271977, NM_002969, NM_032430, NM_022740, NM_005781, NM_001619, NM_001243926, NM_013355, NM_199054, NM_021158, NM_139078, NM_006712, NM_006035, NM_001099436, NM_003157, NM_001569, NM_005734, NM_000455, NM_001319, NM_145686, NM_001626, NM_033018, NM_033141, NM_005163, NM_173500, NM_016151, NM_002741, NM_020680, NM_001289936, NM_007313, NM_004938, NM_130436, NM_002419, NM_003952	587	336	15720	2.86931126795	2.71154984535e-05	9.03858118018e-06	6.20395659401e-05
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	36	5.625	1.61416640478e-07	NM_001321236, NM_002969, NM_032430, NM_022740, NM_001324321, NM_005781, NM_007118, NM_001243926, NM_005876, NM_199054, NM_013355, NM_020223, NM_139078, NM_006712, NM_006035, NM_003942, NM_003157, NM_001099436, NM_001569, NM_005734, NM_000455, NM_001319, NM_145686, NM_001626, NM_033141, NM_033018, NM_005163, NM_173500, NM_016151, NM_002741, NM_032017, NM_004938, NM_130436, NM_002419, NM_014572, NM_003952	587	355	15720	2.71574249586	0.000105399519833	2.63509214965e-05	0.00024116062559099998
GOTERM_MF_DIRECT	GO:0005089~Rho guanyl-nucleotide exchange factor activity	14	2.1875	2.59582383245e-06	NM_020820, NM_198681, NM_001278529, NM_018125, NM_007118, NM_004463, NM_001320816, NM_198236, NM_001308147, NM_015313, NM_001129727, NM_012454, NM_182947, NM_004761	587	73	15720	5.13593615085	0.0016936393341300002	0.000338957573426	0.0038781619744899997
GOTERM_MF_DIRECT	GO:0017137~Rab GTPase binding	18	2.8125	3.4854691192400002e-06	NM_015470, NM_004140, NM_033386, NM_015173, NM_019020, NM_001135999, NM_198868, NM_001330348, NM_020771, NM_001330653, NM_020773, NM_014700, NM_014853, NM_032139, NM_015130, NM_022340, NM_145245, NM_032932	587	124	15720	3.8874539759300006	0.00227342714245	0.000379263944797	0.00520726014361
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	106	16.5625	3.50807734422e-05	NM_001319238, NM_004910, NM_001289824, NM_001042539, NM_015428, NM_021008, NM_022340, NM_012154, NM_018083, NM_007345, NM_006734, NM_015094, NM_001014443, NM_198055, NM_207395, NM_054013, NM_001199873, NM_013400, NM_001130065, NM_207197, NM_015214, NM_001114618, NM_015080, NM_001282777, NM_006999, NM_203351, NM_001321459, NM_002073, NM_006133, NM_005781, NM_004463, NM_001037131, NM_001322072, NM_022908, NM_001111307, NM_024536, NM_001300801, NM_001093, NM_001005850, NM_022473, NM_053025, NM_012406, NM_020747, NM_017758, NM_014760, NM_001289394, NM_152879, NM_012292, NM_001105537, NM_001329765, NM_001114, NM_001320613, NM_199054, NM_001330653, NM_001116, NM_001002836, NM_000127, NM_003780, NM_014864, NM_021098, NM_025224, NM_015461, NM_015270, NM_001198994, NM_198968, NM_018699, NM_001319050, NM_001105540, NM_001287603, NM_001440, NM_030573, NM_005741, NM_001271977, NM_001286440, NM_003425, NM_002037, NM_003426, NM_017590, NM_000202, NM_183002, NM_001286398, NM_032888, NM_015346, NM_001172668, NM_018335, NM_006035, NM_015963, NM_021216, NM_017999, NM_001317836, NM_022089, NM_001122772, NM_001252406, NM_002605, NM_001033723, NM_032752, NM_033410, NM_020437, NM_001127266, NM_024671, NM_001113525, NM_014572, NM_006352, NM_018013, NM_004687, NM_152455	587	1929	15720	1.47159423592	0.022647747493699997	0.0032672433173000005	0.0523988259643
GOTERM_MF_DIRECT	GO:0016301~kinase activity	22	3.4375	7.79732723288e-05	NM_152879, NM_001006617, NM_001128608, NM_005456, NM_022766, NM_033141, NM_005163, NM_001330721, NM_005781, NM_053025, NM_001289936, NM_001105540, NM_014983, NM_021158, NM_020126, NM_004938, NM_001297760, NM_001262, NM_002419, NM_001569, NM_000455, NM_014864	587	220	15720	2.67802385009	0.049643909010100004	0.006344603961079999	0.11643092020300001
GOTERM_MF_DIRECT	GO:0003677~DNA binding	83	12.96875	0.000596711304476	NM_202002, NM_004259, NM_020825, NM_001105537, NM_001329765, NM_021639, NM_001322253, NM_001304815, NM_015428, NM_021008, NM_001002836, NM_005650, NM_001099784, NM_032862, NM_014517, NM_025161, NM_018083, NM_007345, NM_006734, NM_015094, NM_001137675, NM_001256879, NM_000332, NM_015461, NM_002146, NM_014587, NM_207395, NM_018645, NM_007111, NM_013400, NM_001319050, NM_001675, NM_001950, NM_007313, NM_001287603, NM_004295, NM_001282450, NM_001301726, NM_003200, NM_002653, NM_030573, NM_001282777, NM_006999, NM_022740, NM_004491, NM_004187, NM_004555, NM_005234, NM_003425, NM_003426, NM_032482, NM_014983, NM_005225, NM_000966, NM_001174100, NM_001172668, NM_001100119, NM_001100588, NM_001322072, NM_003906, NM_015963, NM_021216, NM_001079514, NM_001252406, NM_005069, NM_001005850, NM_033410, NM_032752, NM_020680, NM_005994, NM_012406, NM_000449, NM_001287491, NM_002693, NM_024671, NM_001005271, NM_001113525, NM_006352, NM_032221, NM_018984, NM_032807, NM_001323044, NM_152455	587	1542	15720	1.44147846665	0.322786560418	0.0423832589272	0.887804710467
GOTERM_MF_DIRECT	GO:0070300~phosphatidic acid binding	5	0.78125	0.00104433803642	NM_001006617, NM_022089, NM_033386, NM_020433, NM_004910	587	13	15720	10.3000917311	0.494551477483	0.0659552297813	1.54896324572
-	-	-	-	-	-	-	-	-	-	-	-	-
KEGG_PATHWAY	hsa00510:N-Glycan biosynthesis	9	1.40625	8.99869265941e-05	NM_002410, NM_006699, NM_024105, NM_020379, NM_001114618, NM_054013, NM_001199873, NM_002408, NM_003780	208	46	6447	6.064276755850001	0.0182790245054	0.0182790245054	0.113186222827
KEGG_PATHWAY	hsa04611:Platelet activation	14	2.1875	0.00019937021642099997	NM_002969, NM_015270, NM_001626, NM_004491, NM_005163, NM_002037, NM_015059, NM_053025, NM_001114, NM_001320613, NM_032888, NM_001116, NM_002224, NM_015313	208	127	6447	3.41679285282	0.0400508542759	0.0202300546944	0.250610531297
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	12	1.875	0.000812993641769	NM_005544, NM_012406, NM_001675, NM_203351, NM_198679, NM_001130040, NM_007313, NM_002969, NM_001626, NM_005475, NM_005163, NM_001569	208	111	6447	3.35083160083	0.15357313796	0.054060968295400004	1.01831833085
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	18	2.8125	0.0016568956222699999	NM_203351, NM_002969, NM_005456, NM_145686, NM_001626, NM_018896, NM_004555, NM_005163, NM_016151, NM_001243926, NM_199054, NM_001675, NM_139078, NM_001114123, NM_002419, NM_003942, NM_001286968, NM_021098	208	239	6447	2.33436594786	0.288190747566	0.08147515654439999	2.06524695233
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	10	1.5625	0.0022615531941999997	NM_001134224, NM_001321042, NM_152879, NM_001105540, NM_001077525, NM_002224, NM_019892, NM_001330721, NM_004687, NM_001567	208	90	6447	3.4439102564099997	0.371326632309	0.088650388937	2.80909462694
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	10	1.5625	0.00305044821625	NM_001320613, NM_001114, NM_001470, NM_001675, NM_001130040, NM_015270, NM_002224, NM_001116, NM_001626, NM_005163	208	94	6447	3.2973608838	0.465432684269	0.0991197479619	3.77177166898
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	13	2.03125	0.00380552482386	NM_005544, NM_015270, NM_001626, NM_004555, NM_005163, NM_183002, NM_053025, NM_014505, NM_001114, NM_001320613, NM_001675, NM_001116, NM_002224	208	154	6447	2.61647727273	0.54233635883	0.105651814481	4.6849518546199995
KEGG_PATHWAY	hsa04925:Aldosterone synthesis and secretion	9	1.40625	0.00424606884611	NM_001320613, NM_001114, NM_001675, NM_015270, NM_002224, NM_001116, NM_018896, NM_006133, NM_021098	208	81	6447	3.4439102564099997	0.582009821896	0.103302911569	5.2140485109400005
KEGG_PATHWAY	hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin	5	0.78125	0.0066211763748	NM_080605, NM_000127, NM_001543, NM_004807, NM_001440	208	24	6447	6.45733173077	0.743814807729	0.140424991151	8.0202869483
KEGG_PATHWAY	hsa04912:GnRH signaling pathway	9	1.40625	0.00701280242808	NM_001320613, NM_001114, NM_001675, NM_203351, NM_015270, NM_002969, NM_002224, NM_001116, NM_001114123	208	88	6447	3.1699628496499996	0.763708502647	0.134345064594	8.475587052789999
-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster2	*	*	*	*	*	*	*	*	*	*	*	*
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070125~mitochondrial translational elongation	38	1.80351210252	7.610902474679999e-13	NM_003776, NM_001318485, NM_016065, NM_014180, NM_001318770, NM_032351, NM_015971, NM_022061, NM_032477, NM_016640, NM_021821, NM_016497, NM_022163, NM_030811, NM_031280, NM_004927, NM_021134, NM_172251, NM_176792, NM_021107, NM_017900, NM_001308164, NM_145729, NM_001300900, NM_022915, NM_022497, NM_017840, NM_031420, NM_016504, NM_001286748, NM_016070, NM_018135, NM_006428, NM_148887, NM_014046, NM_001321972, NM_020191, NM_001281302	1937	85	15647	3.61132132771	3.70406871841e-09	3.70406871841e-09	1.4442225193499999e-09
